Title,Steam_id,has_achievements,completed_achievements,total_achievements
Silent Hill: Homecoming,19000,N,N/A,N/A
Slay the Spire,646570,Y,38,46
Slay the Spire 2,2868840,N,N/A,N/A
Sniper Elite 3,238090,Y,0,77
SpaceChem,92800,Y,0,20
Speed Brawl,468670,Y,0,59
Splitgate,677620,Y,2,30
Stealth Inc 2,329380,Y,0,12
Stellaris,281990,Y,0,219
Stick Fight: The Game,674940,Y,0,28
The Stillness of the Wind,828900,N,N/A,N/A
Stonemachia,2982610,Y,8,30
Stories: The Path of Destinies,439190,Y,0,37
Street Fighter 30th Anniversary Collection,586200,Y,0,17
Strider,235210,Y,0,30
The Suicide of Rachel Foster,1057750,Y,0,11
Super Hexagon,221640,Y,0,6
Super Time Force Ultra,250700,Y,0,33
SUPERHOT,322500,Y,0,26
SUPERHOT: MIND CONTROL DELETE,690040,Y,0,14
Sven Co-op,225840,N,N/A,N/A
The Swindle,369110,Y,0,15
Terraria,105600,Y,114,137
Territory Idle,1017100,Y,6,100
Thief,239160,Y,0,37
Think of the Children,573600,Y,0,27
This Is the Police,443810,Y,0,10
This Is the Police 2,785740,Y,0,12
Tilt Brush,327140,N,N/A,N/A
tModLoader,1281930,N,N/A,N/A
Tom Clancy's Rainbow Six Siege,359550,Y,0,48
Tom Clancy's Rainbow Six Siege - Test Server,623990,N,N/A,N/A
Total War: SHOGUN 2,34330,Y,1,106
Tower of Guns,266110,Y,0,17
Tropico 4,57690,Y,0,70
Ultimate Custom Night,871720,N,N/A,N/A
Umiro,727760,Y,0,8
Undercroft Warriors,2547140,Y,0,8
Undertale,391540,N,N/A,N/A
Unplagued,3062930,N,N/A,N/A
Victoria II,42960,N,N/A,N/A
Void Bastards,857980,Y,0,24
VRChat,438100,N,N/A,N/A
VVVVVV,70300,Y,0,19
Wallpaper Engine,431960,Y,0,17
War Thunder,236390,Y,1,91
Warframe,230410,Y,189,193
Warhammer: Vermintide 2,552500,Y,0,26
Way of the Passive Fist,625680,Y,0,36
The Witcher 3: Wild Hunt,292030,Y,0,78
The Witness,210970,Y,0,2
Wizard of Legend,445980,Y,0,19
Wolfenstein II: The New Colossus,612880,Y,0,80
World of Goo,22000,Y,0,8
Worms Revolution,200170,Y,0,34
XCOM: Enemy Unknown,200510,Y,0,85
Yakuza 0,638970,Y,0,55
Zombotron,664830,Y,0,8
