keys,game_titles,count_main,time_main,count_complete,time_complete
182,Ronin,25,5h 59m,21,12h 6m
183,RPG Maker XP,2,9h 13m,n/a,n/a
184,Sakura Beach 2,18,2h 15m,24,3h 20m
185,Sakura Fantasy - Chapter 1,25,3h 17m,21,4h 26m
186,Salt,n/a,n/a,n/a,n/a
187,Satellite Reign,18,21h 33m,7,39h 13m
188,Sekiro: Shadows Die Twice,1.2K,30h 31m,1.4K,71h 53m
189,Sengoku,2,32h 34m,n/a,n/a
190,Shovel Knight: Specter of Torment,247,4h 35m,64,8h 3m
191,Silent Hill: Homecoming,148,9h 39m,26,17h 41m
192,Slay the Spire,737,13h 17m,182,199h 43m
193,Slay the Spire 2,52,11h 9m,12,106h 14m
194,Sniper Elite III,338,9h 14m,51,33h 7m
195,SpaceChem,17,42h 32m,20,72h 38m
196,Speed Brawl,5,7h 32m,1,6h
197,Stealth Inc 2: A Game of Clones,23,9h 18m,8,24h 46m
198,Stellaris,59,35h,16,528h 28m
199,Stick Fight: The Game,n/a,n/a,n/a,n/a
200,Stonemachia,4,10h 7m,1,18h 25m
201,Stories: The Path Of Destinies,198,5h 24m,105,20h 20m
202,Street Fighter 30th Anniversary Collection,18,7h 10m,7,25h 58m
203,Strider,228,5h 36m,55,14h 38m
204,Super Hexagon,87,6h 1m,129,19h 18m
205,Super Time Force Ultra,48,4h 32m,14,15h 52m
206,SUPERHOT,2.1K,2h 30m,144,20h
207,SUPERHOT: MIND CONTROL DELETE,116,7h 24m,193,15h 5m
208,Terraria,702,53h 29m,675,231h 56m
209,The Bard's Tale IV: Director's Cut,6,43h 38m,12,79h 5m
210,The Bard's Tale Trilogy,3,28h 53m,7,102h 19m
211,The Deed: Dynasty,3,5h 10m,10,14h 23m
212,The Escapists,31,18h 51m,16,45h 41m
213,The Gardens Between,407,2h 30m,420,2h 46m
214,The Jackbox Party Pack 2,n/a,n/a,n/a,n/a
215,The Messenger,486,12h 5m,653,16h 49m
216,The Red Strings Club,340,4h,71,7h 18m
217,The Stillness of the Wind,52,3h 14m,12,3h 50m
218,The Suicide of Rachel Foster,163,3h 35m,155,4h 25m
219,The Swindle,9,10h 12m,n/a,n/a
220,The Witcher 3: Wild Hunt,2.7K,53h 15m,2.4K,180h 29m
221,The Witness,512,17h 6m,227,39h 48m
222,Thief,390,11h 25m,78,46h 57m
223,Think of the Children!,4,3h 29m,n/a,n/a
224,This is the Police,94,19h 52m,25,34h 48m
225,This Is The Police 2,20,20h 53m,17,30h 49m
226,Tom Clancy's Rainbow Six Siege,108,3h 38m,79,288h 18m
227,Total War: Shogun 2,87,29h 58m,13,216h 17m
