Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
Don't Starve Together,322330,N,,,Overwhelmingly Positive,"21 Apr, 2016","372,459",Klei Entertainment,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Open World', 'Adventure', 'Crafting', 'Online Co-Op', 'Sandbox', 'Difficult', 'Indie', '2D', 'Atmospheric', 'Survival Horror', 'Funny', 'Strategy', 'Horror', 'Singleplayer', 'Action', 'Roguelike']"
DOOM,379720,Y,0.0,54.0,Overwhelmingly Positive,"12 May, 2016","153,518",Bethesda Softworks,"['FPS', 'Gore', 'Action', 'Shooter', 'Great Soundtrack', 'Demons', 'First-Person', 'Multiplayer', 'Fast-Paced', 'Singleplayer', 'Sci-fi', 'Horror', 'Atmospheric', 'Classic', 'Difficult', 'Remake', 'Zombies', 'Violent', 'Co-op', 'Boomer Shooter']"
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",409160,Y,3.0,6.0,Very Positive,"4 Dec, 2015","10,141",Crows Crows Crows,"['Free to Play', 'Comedy', 'First-Person', 'Indie', 'Walking Simulator', 'Funny', 'Short', 'Singleplayer', 'Heist', 'Stealth', 'Story Rich', 'Experimental', 'Adventure', 'Casual', 'Atmospheric', 'Satire', 'Puzzle', 'Action', 'Psychological Horror', 'Horror']"
Dragon's Dogma: Dark Arisen,367500,Y,0.0,59.0,Very Positive,"15 Jan, 2016","37,198",Capcom,"['RPG', 'Open World', 'Character Customization', 'Fantasy', 'Action', 'Adventure', 'Singleplayer', 'Action RPG', 'Dragons', 'Dark Fantasy', 'Third Person', 'Magic', 'Exploration', 'Atmospheric', 'Great Soundtrack', 'Story Rich', 'Difficult', 'Multiplayer', 'JRPG', 'Hack and Slash']"
Driver Booster for Steam,920490,N,,,Mostly Positive,"1 Nov, 2018","10,571",IObit,"['Utilities', 'Software', 'Free to Play', 'Psychological Horror']"
Dropsy,274350,Y,0.0,30.0,Very Positive,"10 Sep, 2015","(1,614 reviews)",Devolver Digital,"['Point & Click', 'Adventure', '2D', 'Great Soundtrack', 'Pixel Graphics', 'Indie', 'Surreal', 'Story Rich', 'Cute', 'Singleplayer', 'Atmospheric', 'Puzzle', 'Dark', 'Open World', 'Casual', 'Psychedelic', 'Survival Horror', 'Colorful', 'Cartoony']"
DUCATI - 90th Anniversary,456780,Y,0.0,22.0,Mostly Positive,"9 Jun, 2016",(207 reviews),Milestone S.r.l.,"['Motorbike', 'Sports', 'Simulation', 'Racing', 'Cycling']"
Duck Game,312530,Y,0.0,18.0,Overwhelmingly Positive,"4 Jun, 2015","25,234",CORPTRON GAMES CORP.,"['Multiplayer', 'Funny', 'Local Multiplayer', 'Pixel Graphics', 'Action', '2D', '4 Player Local', 'Platformer', 'Indie', 'Fast-Paced', 'Shooter', 'Comedy', 'Competitive', 'Retro', 'Local Co-Op', 'Great Soundtrack', 'Co-op', 'Memes', 'Casual', '1980s']"
ELDEN RING,1245620,Y,0.0,42.0,Very Positive,"24 Feb, 2022","823,410","FromSoftware, Inc.","['Souls-like', 'Open World', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Multiplayer', 'Third Person', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'Atmospheric', 'Great Soundtrack', 'PvP', 'Violent', '3D', 'Character Customization', 'Family Friendly']"
ELDEN RING NIGHTREIGN,2622380,Y,32.0,37.0,Very Positive,"29 May, 2025","127,379","FromSoftware, Inc.","['Souls-like', 'Online Co-Op', 'Multiplayer', 'Roguelike', 'Co-op', 'Singleplayer', 'PvE', 'Action', 'Third Person', 'Roguelite', 'Action RPG', 'Open World', 'RPG', 'Dark', 'Violent', '3D', 'Survival', 'Lore-Rich', 'Story Rich', 'Dating Sim']"
Enter the Gungeon,311690,Y,0.0,54.0,Overwhelmingly Positive,"5 Apr, 2016","78,941",Devolver Digital,"['Bullet Hell', 'Action Roguelike', 'Roguelike', 'Pixel Graphics', 'Difficult', 'Dungeon Crawler', 'Indie', 'Local Co-Op', 'Multiplayer', 'Twin Stick Shooter', 'Co-op', 'Action', '2D', 'Top-Down', 'Shooter', 'Singleplayer', 'Roguelite', 'Loot', 'Cute', 'Funny']"
The Escapists,298630,Y,0.0,37.0,Very Positive,"13 Feb, 2015","14,280",Team17,"['Pixel Graphics', 'Strategy', 'Crafting', 'Singleplayer', '2D', 'Simulation', 'Indie', 'Action', 'Difficult', 'Survival', 'Adventure', 'Puzzle', 'RPG', 'Top-Down', 'Multiplayer', 'Sandbox', 'Funny', 'Comedy', 'Co-op', 'Roguelike']"
Etherborn,812160,Y,0.0,13.0,Mostly Positive,"18 Jul, 2019",(100 reviews),Akupara Games,"['Indie', 'Adventure', 'Great Soundtrack', 'Puzzle', 'Puzzle Platformer', 'Atmospheric', 'Platformer', '3D Platformer', 'Minimalist', 'Colorful', 'Philosophical', 'Singleplayer', 'Silent Protagonist', 'Exploration', 'Music', 'Beautiful', 'Female Protagonist', 'Experimental', 'Surreal', 'Casual']"
Europa Universalis III,25800,N,,,Very Positive,"23 Jan, 2007","(1,369 reviews)",Paradox Interactive,"['Grand Strategy', 'Strategy', 'Historical', 'Political Sim', 'Real-Time with Pause', 'Political', 'Sandbox', 'Simulation', 'Singleplayer', 'Addictive', 'Multiplayer', 'RTS', 'Co-op', 'War', 'Alternate History', 'Medieval', 'Logic', '4X', 'Great Soundtrack', 'Moddable']"
Europa Universalis IV,236850,Y,167.0,373.0,Very Positive,"13 Aug, 2013","93,721",Paradox Interactive,"['Grand Strategy', 'Strategy', 'Historical', 'Simulation', '4X', 'Alternate History', 'Wargame', 'Military', 'Diplomacy', 'Economy', 'Replay Value', 'Sandbox', 'Political', 'Real-Time with Pause', 'Moddable', 'Nonlinear', 'Co-op', 'Singleplayer', 'Management', 'Multiplayer']"
EXAPUNKS,716490,Y,0.0,16.0,Overwhelmingly Positive,"22 Oct, 2018","(1,363 reviews)",Zachtronics,"['Programming', 'Puzzle', 'Hacking', 'Automation', 'Indie', 'Simulation', 'Logic', 'Cyberpunk', 'Singleplayer', 'Difficult', 'Great Soundtrack', 'Sandbox']"
Fahrenheit: Indigo Prophecy Remastered,312840,Y,0.0,17.0,Mostly Positive,"28 Jan, 2015","6,473",Quantic Dream,"['Story Rich', 'Quick-Time Events', 'Adventure', 'Atmospheric', 'Choices Matter', 'Mystery', 'Singleplayer', 'Cinematic', 'Nudity', 'Detective', 'Action', 'Horror', 'Classic', 'Supernatural', 'Great Soundtrack', 'Noir', 'Remake', 'Female Protagonist', 'RPG', 'Sexual Content']"
Fallout,38400,N,,,Overwhelmingly Positive,"30 Sep, 1997","16,461",Bethesda Softworks,"['RPG', 'Post-apocalyptic', 'Classic', 'Open World', 'Isometric', 'Turn-Based', 'Turn-Based Combat', 'Singleplayer', 'Sci-fi', 'Atmospheric', 'Multiple Endings', 'CRPG', ""1990's"", 'Retro', 'Adventure', 'Exploration', '2D', 'Difficult', 'Tactical', 'Sandbox']"
Fallout 2,38410,N,,,Very Positive,"1 Dec, 1998","13,699",Bethesda Softworks,"['RPG', 'Post-apocalyptic', 'Classic', 'Isometric', 'Open World', 'Turn-Based Combat', 'Turn-Based', 'Singleplayer', 'Story Rich', 'Sci-fi', 'Atmospheric', 'CRPG', 'Retro', 'Exploration', 'Dark Humor', 'Great Soundtrack', 'Replay Value', 'Adventure', '2D', 'Sandbox']"
Fallout Tactics,38420,N,,,Mostly Positive,"1 Mar, 2001","2,321",Bethesda Softworks,"['Post-apocalyptic', 'RPG', 'Turn-Based', 'Strategy', 'Tactical', 'Isometric', 'Classic', 'Singleplayer', 'Sci-fi', 'Turn-Based Strategy', 'Tactical RPG', 'Open World', 'Real-Time with Pause', 'Action', 'Atmospheric', 'Turn-Based Tactics', 'Story Rich', 'Multiplayer', 'CRPG', 'Adventure']"
Fallout: New Vegas,22380,Y,41.0,75.0,Overwhelmingly Positive,"21 Oct, 2010","209,520",Bethesda Softworks,"['Open World', 'RPG', 'Post-apocalyptic', 'Singleplayer', 'Moddable', 'Story Rich', 'Exploration', 'First-Person', 'Action', 'Adventure', 'FPS', 'Sci-fi', 'Western', 'Atmospheric', 'Action RPG', 'Character Customization', 'Survival', 'Sandbox', 'Shooter', 'Third Person']"
Feather,545040,Y,0.0,1.0,Very Positive,"5 Apr, 2019",(492 reviews),Samurai Punk,"['Exploration', 'Flight', 'Sandbox', 'Nature', 'Third Person', 'Relaxing', 'Open World', 'Casual', 'Simulation', 'Stylized', 'Atmospheric', 'Co-op', 'Adventure', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Music', 'Indie', 'Walking Simulator', 'Birds']"
FEZ,224760,Y,0.0,12.0,Very Positive,"1 May, 2013","11,589",Trapdoor,"['Platformer', 'Indie', 'Puzzle', 'Pixel Graphics', 'Exploration', 'Great Soundtrack', 'Singleplayer', 'Adventure', 'Casual', 'Mystery', 'Puzzle Platformer', '2D', 'Beautiful', 'Relaxing', 'Atmospheric', '2.5D', 'Cute', 'Retro', 'Controller', 'Metroidvania']"
FINAL FANTASY VII,3837340,Y,0.0,31.0,Mostly Positive,"24 Jul, 2013","(1,171 reviews)",Square Enix,"['RPG', 'Adventure', 'Strategy', 'JRPG', 'Party-Based RPG', 'Exploration', ""1990's"", 'Cyberpunk', 'Fantasy', 'Dystopian', 'Retro', 'Magic', 'Atmospheric', 'Singleplayer', 'Story Rich', 'Sci-fi', 'Turn-Based', 'Great Soundtrack']"
FINAL FANTASY VII (2013),39140,Y,0.0,36.0,Very Positive,n/a,"30,294",Square Enix,"['JRPG', 'RPG', 'Classic', 'Turn-Based', 'Story Rich', 'Singleplayer', 'Great Soundtrack', 'Fantasy', 'Retro', 'Adventure', 'Party-Based RPG', 'Sci-fi', 'Epic', 'Open World', 'Cyberpunk', 'Atmospheric', 'Dystopian', ""1990's"", 'Exploration', 'Strategy']"
A Fistful of Gun,229810,Y,0.0,13.0,Mixed,"23 Sep, 2015",(137 reviews),Devolver Digital,"['Action', 'Indie', 'Western', 'Pixel Graphics', 'Bullet Hell', 'Local Co-Op', 'Co-op', 'Top-Down Shooter', 'Arena Shooter', 'Twin Stick Shooter', '2D', 'Multiplayer', 'Local Multiplayer', 'Top-Down', 'Difficult']"
Flinthook,401710,Y,0.0,37.0,Mostly Positive,"18 Apr, 2017",(597 reviews),Tribute Games Inc.,"['Action Roguelike', 'Indie', 'Action', 'Adventure', 'Pixel Graphics', 'Roguelite', 'Platformer', 'Roguelike', '2D', 'Singleplayer', 'Difficult', 'Loot', '2D Platformer', 'Pirates', 'Great Soundtrack', 'Side Scroller', 'Colorful', 'Replay Value', 'Procedural Generation', 'Metroidvania']"
FRAMED Collection,322450,Y,0.0,18.0,Very Positive,"17 May, 2018","2,291",Fellow Traveller,"['Puzzle', 'Casual', 'Indie', 'Comic Book', 'Adventure', 'Noir', 'Singleplayer', 'Minimalist', 'Touch-Friendly', 'Heist', 'Family Friendly', 'Point & Click', 'Great Soundtrack', 'Strategy', '2D', 'Cartoon', 'Music', 'Puzzle Platformer', 'Platformer', 'Addictive']"
Frog Detective 1: The Haunted Island,963000,Y,0.0,6.0,Very Positive,"22 Nov, 2018","3,001",worm club,"['Comedy', 'Short', 'Funny', 'Casual', 'Cute', 'Detective', 'Mystery', 'Relaxing', 'Colorful', 'Exploration', 'Investigation', 'Walking Simulator', 'Point & Click', 'Adventure', 'Interactive Fiction', 'Singleplayer', 'Soundtrack', 'Indie', 'Great Soundtrack', 'Story Rich']"
FTL: Faster Than Light,212680,Y,0.0,51.0,Overwhelmingly Positive,"14 Sep, 2012","62,307",Subset Games,"['Roguelike', 'Space', 'Strategy', 'Sci-fi', 'Indie', 'Singleplayer', 'Perma Death', 'Difficult', 'Replay Value', 'Real-Time with Pause', 'Procedural Generation', 'Tactical', 'Top-Down', 'Space Sim', 'Roguelite', '2D', 'Survival', 'Choose Your Own Adventure', 'Adventure', 'Simulation']"
Furi,423230,Y,0.0,33.0,Very Positive,"5 Jul, 2016","11,150",The Game Bakers,"['Bullet Hell', 'Hack and Slash', 'Difficult', 'Boss Rush', ""Beat 'em up"", ""Shoot 'Em Up"", 'Top-Down', 'Sci-fi', 'Third Person', 'Atmospheric', 'Action', 'Fast-Paced', 'Controller', 'Cyberpunk', 'Story Rich', 'Singleplayer', 'Violent', 'Replay Value', 'Great Soundtrack', 'Indie']"
The Gardens Between,600990,Y,0.0,17.0,Very Positive,"19 Sep, 2018","2,348",The Voxel Agents,"['Puzzle Platformer', 'Hidden Object', 'Puzzle', 'Walking Simulator', 'Female Protagonist', '3D', 'Relaxing', 'Surreal', 'Linear', 'Story Rich', 'Time Manipulation', 'Stylized', 'Minimalist', 'Family Friendly', 'Logic', 'Time Travel', 'Atmospheric', 'Emotional', 'Mystery', 'Adventure']"
Garfield Kart - Furious Racing,1085510,Y,0.0,14.0,Very Positive,"6 Nov, 2019","10,445",Microids,"['Racing', 'PvP', 'Sports', 'Competitive', 'Arcade', 'Third Person', 'Cute', 'Split Screen', 'Funny', 'Casual', 'Cartoony', 'Family Friendly', 'Cats', 'Comedy', 'Co-op', 'Multiplayer', 'Singleplayer', 'Local Multiplayer', 'Great Soundtrack', 'Classic']"
Garry's Mod,4000,Y,4.0,29.0,Overwhelmingly Positive,"29 Nov, 2006","1,078,531",Valve,"['Sandbox', 'Moddable', 'Multiplayer', 'Physics', 'Building', 'Casual', 'Funny', 'First-Person', 'Singleplayer', 'FPS', 'Simulation', 'Comedy', 'Shooter', 'Online Co-Op', 'Co-op', 'Action', 'Indie', 'PvP', 'Realistic', 'Exploration']"
Gato Roboto,916730,Y,0.0,12.0,Very Positive,"30 May, 2019","4,305",Devolver Digital,"['Indie', 'Metroidvania', 'Action', 'Pixel Graphics', 'Adventure', '2D', 'Cats', 'Platformer', 'Retro', 'Singleplayer', 'Cute', 'Side Scroller', 'Exploration', 'Sci-fi', 'Controller', 'Difficult', 'Short', 'Female Protagonist', 'Great Soundtrack', 'Open World']"
