Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
GNOG,290510,Y,0.0,20.0,Very Positive,"17 Jul, 2018",(419 reviews),KO_OP,"['Indie', 'Casual', 'Adventure', 'Puzzle', 'VR', 'Colorful', 'Point & Click', 'Great Soundtrack', 'Singleplayer', 'Short']"
Gods Will Be Watching,274290,Y,0.0,35.0,Mixed,"24 Jul, 2014","2,228",Devolver Digital,"['Indie', 'Pixel Graphics', 'Point & Click', 'Sci-fi', 'Story Rich', 'Adventure', 'Difficult', 'Dark', 'Choices Matter', 'Singleplayer', 'Thriller', 'Puzzle', 'Atmospheric', 'Strategy', 'Survival', 'Resource Management', '2D', 'Great Soundtrack', 'Gore', 'Horror']"
A Good Snowman Is Hard To Build,316610,Y,0.0,5.0,Overwhelmingly Positive,"25 Feb, 2015",(671 reviews),Draknek & Friends,"['Cute', 'Puzzle', 'Sokoban', 'Relaxing', 'Open World', 'Difficult', 'Exploration', 'Strategy', 'Isometric', 'Post-apocalyptic', 'Surreal', 'Casual', 'Abstract', 'Cartoony', 'Minimalist', 'Colorful', 'Stylized', 'Family Friendly', 'Great Soundtrack', 'Atmospheric']"
GRIS,683320,Y,8.0,17.0,Overwhelmingly Positive,"13 Dec, 2018","83,124",Devolver Digital,"['Beautiful', 'Atmospheric', 'Great Soundtrack', 'Indie', 'Female Protagonist', 'Adventure', 'Hand-drawn', 'Platformer', 'Singleplayer', 'Relaxing', '2D', 'Story Rich', 'Puzzle', 'Colorful', 'Puzzle Platformer', 'Surreal', 'Casual', 'Exploration', 'Walking Simulator', 'Anime']"
GUNTOUCHABLES,2543510,Y,0.0,79.0,Mostly Positive,"7 Aug, 2025",(327 reviews),Ghost Ship Publishing,"['Action Roguelike', 'Multiplayer', 'Roguelite', 'Post-apocalyptic', 'Online Co-Op', 'Zombies', 'Co-op', 'Replay Value', 'Difficult', 'PvE', 'Arena Shooter', 'Bullet Hell', 'Indie', 'Singleplayer', 'Survival Horror', 'Gore', 'Comedy', 'Action', 'Survival', 'Dark']"
Hacknet,365450,Y,0.0,11.0,Very Positive,"12 Aug, 2015","16,749",Fellow Traveller,"['Hacking', 'Simulation', 'Programming', 'Typing', 'Story Rich', 'Singleplayer', 'Great Soundtrack', 'Choices Matter', 'Crime', 'Atmospheric', 'Detective', 'Cyberpunk', 'Logic', 'Education', '2D', 'Difficult', 'Adventure', 'Sci-fi', 'Dystopian', 'Indie']"
Hades,1145360,Y,0.0,49.0,Overwhelmingly Positive,"17 Sep, 2020","283,171",Supergiant Games,"['Action Roguelike', 'Roguelite', 'Hack and Slash', 'Indie', 'Mythology', 'Action', 'Roguelike', 'Singleplayer', 'Great Soundtrack', 'Story Rich', 'Dungeon Crawler', 'RPG', 'Replay Value', 'Isometric', 'Difficult', 'Hand-drawn', 'Action RPG', 'Atmospheric', 'LGBTQ+', 'Perma Death']"
Half-Life 2,220,Y,0.0,69.0,Overwhelmingly Positive,"16 Nov, 2004","200,189",Valve,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian', 'Atmospheric', 'Silent Protagonist', 'Zombies', 'Physics', 'Aliens', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Puzzle', 'Moddable']"
Half-Life 2: Deathmatch,320,N,,,Very Positive,"1 Nov, 2004","10,171",Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'Sci-fi', 'Physics', 'Competitive', 'Funny', 'Co-op', 'Old School', 'PvP', 'Arena Shooter', 'Moddable', 'Atmospheric', 'Adventure', 'Great Soundtrack', 'Singleplayer', 'Violent', 'Mod']"
Half-Life Deathmatch: Source,360,N,,,Mostly Positive,"1 May, 2006","4,313",Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Sci-fi', 'First-Person', 'Classic', 'Remake', 'Violent', 'Adventure', 'Competitive', 'Fast-Paced', 'Atmospheric', 'Singleplayer', 'Horror', 'Gore', 'Arena Shooter', 'Retro']"
Hand of Fate 2,456670,Y,0.0,99.0,Very Positive,"7 Nov, 2017","5,253",Defiant Development,"['RPG', 'Roguelike Deckbuilder', 'Card Game', 'Deckbuilding', 'Action', 'Roguelite', 'Action Roguelike', 'Indie', 'Singleplayer', 'Board Game', 'Fantasy', 'Roguelike', 'Dungeon Crawler', 'Hack and Slash', 'Choices Matter', 'Strategy', 'Third Person', 'Action RPG', 'Atmospheric', 'Female Protagonist']"
A Hat in Time,253230,Y,0.0,46.0,Overwhelmingly Positive,"5 Oct, 2017","42,701",Gears for Breakfast,"['Cute', '3D Platformer', 'Collectathon', 'Great Soundtrack', 'Funny', 'Female Protagonist', 'Adventure', 'Indie', 'Platformer', 'Colorful', 'Exploration', 'Third Person', 'Singleplayer', 'Co-op', 'Moddable', 'Open World', 'Comedy', 'Family Friendly', 'Action', 'Atmospheric']"
Hearts of Iron IV,394360,Y,0.0,293.0,Very Positive,"6 Jun, 2016","270,895",Paradox Interactive,"['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Singleplayer', 'RTS', 'Real-Time with Pause', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Open World', 'Competitive', 'Action']"
Heat Signature,268130,Y,0.0,70.0,Very Positive,"21 Sep, 2017","6,826",Suspicious Developments,"['Space', 'Stealth', 'Indie', 'Top-Down', 'Roguelike', 'Action', 'Strategy', 'Sci-fi', 'Procedural Generation', 'Real-Time with Pause', 'Roguelite', 'Singleplayer', 'Adventure', '2D', 'Tactical', 'Perma Death', 'Top-Down Shooter', 'Open World', 'Bullet Time', 'Action Roguelike']"
Heavy Bullets,297120,Y,0.0,17.0,Very Positive,"18 Sep, 2014","(1,259 reviews)",Devolver Digital,"['Indie', 'Action', 'FPS', 'Action Roguelike', 'Roguelike', 'Roguelite', 'Shooter', 'Singleplayer', 'First-Person', 'Difficult', 'Retro', 'Dungeon Crawler', 'Perma Death', 'Psychedelic', 'Horror', 'Colorful', 'Boomer Shooter', 'Procedural Generation', 'Bullet Hell', 'Adventure']"
Helltaker,1289310,Y,7.0,10.0,Overwhelmingly Positive,"11 May, 2020","127,701",vanripper,"['Free to Play', 'Cute', 'Puzzle', 'Demons', 'Indie', 'Great Soundtrack', 'Anime', 'Singleplayer', 'Sexual Content', '2D', 'Short', 'Comedy', 'Difficult', 'Adventure', 'Dating Sim', 'Funny', 'Hentai', 'Rhythm', 'Visual Novel', 'Nudity']"
HITMAN™ 2,863550,Y,0.0,146.0,Very Positive,"13 Nov, 2018","74,857",IO Interactive A/S,"['Stealth', 'Assassins', 'Action', 'Singleplayer', 'Third Person', 'Multiplayer', 'Violent', 'Open World', 'Sandbox', 'Strategy', 'Gore', 'Puzzle', 'Shooter', 'Atmospheric', 'Third-Person Shooter', 'Co-op', 'Funny', 'Online Co-Op', 'Great Soundtrack', 'Nudity']"
HIVESWAP: ACT 1,623940,Y,0.0,44.0,Very Positive,"14 Sep, 2017","3,110","What Pumpkin Games, Inc.","['Adventure', 'Point & Click', 'Great Soundtrack', 'RPG', 'Indie', 'Memes', 'Female Protagonist', 'Aliens', 'Story Rich', 'Cute', '2D', 'Singleplayer', 'Puzzle', 'Atmospheric', 'Exploration', 'Sci-fi', 'Colorful', 'Family Friendly', 'Difficult', 'Psychological Horror']"
Hollow Knight,367520,Y,0.0,63.0,Overwhelmingly Positive,"24 Feb, 2017","493,335",Team Cherry,"['Metroidvania', 'Platformer', 'Souls-like', 'Difficult', 'Great Soundtrack', '2D', 'Indie', 'Singleplayer', 'Exploration', 'Atmospheric', 'Adventure', 'Story Rich', 'Hand-drawn', 'Multiple Endings', 'Action', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller']"
Hotline Miami,219150,Y,0.0,35.0,Overwhelmingly Positive,"23 Oct, 2012","107,310",Devolver Digital,"['Great Soundtrack', 'Violent', 'Action', 'Indie', 'Pixel Graphics', 'Top-Down', 'Gore', '1980s', 'Fast-Paced', 'Retro', 'Psychedelic', 'Difficult', 'Singleplayer', 'Surreal', 'Top-Down Shooter', '2D', 'Shooter', 'Addictive', 'Atmospheric', 'Music']"
