Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
dark souls iii,374320,Y,43,43,Very Positive,2016-04-11,276767,"FromSoftware, Inc.",46.0,1900,1925,1200,6437,"['Souls-like', 'Dark Fantasy', 'Difficult', 'RPG', 'Atmospheric', 'Lore-Rich', 'Third Person', 'Exploration', 'Story Rich', 'Action RPG', 'Co-op', 'Great Soundtrack', 'Adventure', 'Action', 'Multiplayer', 'PvP', 'Open World', 'Singleplayer', 'Character Customization', 'Replay Value']"
dark souls remastered,570940,Y,20,41,Very Positive,2018-05-23,98706,"FromSoftware, Inc.",47.0,944,1722,953,4278,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Dark', 'Fantasy', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Lore-Rich', 'Adventure', 'Multiplayer', 'Exploration', 'Third Person', 'Story Rich', 'Replay Value', 'Character Customization', 'Soundtrack', 'Co-op']"
darkest dungeon®,262060,Y,0,120,Very Positive,2016-01-19,139014,Red Hook Studios,,,,,,"['Turn-Based Combat', 'Dungeon Crawler', 'Dark Fantasy', 'Roguelike', 'RPG', 'Lovecraftian', 'Difficult', 'Turn-Based', 'Singleplayer', 'Perma Death', 'Strategy', 'Atmospheric', 'Dark', 'Indie', '2D', 'Roguelite', 'Horror', 'Gothic', 'Fantasy', 'Great Soundtrack']"
darksiders,50620,Y,0,43,Very Positive,2010-09-23,8511,THQ Nordic,49.0,1100,1028,429,1738,"['Action', 'Adventure', 'Hack and Slash', 'Third Person', 'Singleplayer', 'Post-apocalyptic', 'Fantasy', 'Controller', 'Action RPG', 'Puzzle', 'Action-Adventure', 'Gore', 'Open World', 'RPG', 'Spectacle fighter', '3D Platformer', ""Beat 'em up"", 'Metroidvania', 'Character Action Game', 'Platformer']"
darksiders ii deathinitive edition,388410,Y,0,50,Mostly Positive,2015-11-05,16047,THQ Nordic,50.0,254,1185,94,3320,"['Action', 'Hack and Slash', 'Adventure', 'RPG', 'Open World', 'Singleplayer', 'Third Person', 'Fantasy', 'Puzzle', 'Story Rich', 'Great Soundtrack', 'Action RPG', 'Dark Fantasy', 'Loot', 'Parkour', 'Spectacle fighter', 'Gore', 'Controller', 'Souls-like', 'Metroidvania']"
darksiders warmastered edition,462780,Y,0,43,Very Positive,2016-11-29,13664,THQ Nordic,51.0,1100,1028,429,1738,"['Action', 'Hack and Slash', 'Adventure', 'Third Person', 'Dark Fantasy', 'Singleplayer', 'RPG', 'Violent', 'Puzzle', 'Gore', 'Fantasy', 'Demons', 'Post-apocalyptic', 'Open World', 'Story Rich', 'Metroidvania', 'Controller', 'Remake', 'Difficult', 'Action RPG']"
darkwood,274520,Y,0,15,Very Positive,2017-08-17,21828,Hooded Horse,52.0,62,1132,17,2497,"['Horror', 'Survival Horror', 'Adventure', 'Action', 'Psychological Horror', 'RPG', 'Dark', 'Atmospheric', 'Survival', 'Exploration', 'Story Rich', 'Open World', 'Dark Fantasy', 'Fantasy', 'Singleplayer', 'Action-Adventure', 'Multiple Endings', 'Choices Matter', 'Combat', 'Supernatural']"
dead rising 4,543460,Y,0,104,Mixed,2017-03-14,4725,Capcom,53.0,135,600,11,2552,"['Zombies', 'Open World', 'Action', 'Multiplayer', 'Co-op', 'Violent', 'Gore', 'Survival', 'Comedy', 'Horror', 'Third Person', 'Funny', 'Nudity', 'Heist', 'Online Co-Op', 'Singleplayer', 'Survival Horror', 'Memes', 'Sandbox', 'Casual']"
death road to canada,252610,Y,0,72,Very Positive,2016-07-21,8940,Rocketcat Games,54.0,49,393,3,14660,"['Zombies', 'Pixel Graphics', 'Action Roguelike', 'Local Co-Op', 'Survival', 'Action', 'Roguelike', 'Character Customization', 'Indie', 'Comedy', 'Great Soundtrack', 'RPG', 'Multiplayer', 'Replay Value', 'Co-op', '2D', 'Funny', 'Difficult', 'Roguelite', 'Memes']"
death squared,471810,Y,0,25,Very Positive,2017-03-13,466,SMG Studio,55.0,34,368,22,570,"['Puzzle', 'Local Co-Op', 'Co-op', 'Funny', 'Sokoban', '4 Player Local', 'Minimalist', 'Family Friendly', 'Singleplayer', 'Casual', 'Indie', 'Local Multiplayer', 'Robots', 'Co-op Campaign', 'Artificial Intelligence', 'Controller', 'Difficult', 'Satire', 'Dark Humor', 'Dynamic Narration']"
